Accession,Release_Date,Species,Genus,Family,Length,Genotype,Genome_Region,Segment,Authors,Publications,Protein,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
QIJ96522,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx,2020-02-24,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIJ96523,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx,2020-02-24,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIJ96524,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx,2020-02-24,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96525,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx,2020-02-24,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96526,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx,2020-02-24,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIJ96527,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx,2020-02-24,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96528,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx,2020-02-24,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96529,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx,2020-02-24,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96530,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx,2020-02-24,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIJ96531,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,"Queen,K., Uehara,A., Tao,Y., Paden,C.R., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx,2020-02-24,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87780,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1ab polyprotein,USA,Homo sapiens,,2020-02-27,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87782,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,surface glycoprotein,USA,Homo sapiens,,2020-02-27,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87786,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF6 protein,USA,Homo sapiens,,2020-02-27,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QII87788,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7b,USA,Homo sapiens,,2020-02-27,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
QII87790,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,nucleocapsid phosphoprotein,USA,Homo sapiens,,2020-02-27,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87791,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF10 protein,USA,Homo sapiens,,2020-02-27,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87781,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1a polyprotein,USA,Homo sapiens,,2020-02-27,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87783,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF3a protein,USA,Homo sapiens,,2020-02-27,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QII87784,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,envelope protein,USA,Homo sapiens,,2020-02-27,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87785,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,membrane glycoprotein,USA,Homo sapiens,,2020-02-27,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87787,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7a protein,USA,Homo sapiens,,2020-02-27,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QII87789,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF8 protein,USA,Homo sapiens,,2020-02-27,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87816,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1ab polyprotein,USA,Homo sapiens,,2020-03-01,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87817,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1a polyprotein,USA,Homo sapiens,,2020-03-01,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87818,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,surface glycoprotein,USA,Homo sapiens,,2020-03-01,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87819,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF3a protein,USA,Homo sapiens,,2020-03-01,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QII87820,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,envelope protein,USA,Homo sapiens,,2020-03-01,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87821,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,membrane glycoprotein,USA,Homo sapiens,,2020-03-01,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87822,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF6 protein,USA,Homo sapiens,,2020-03-01,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QII87823,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7a protein,USA,Homo sapiens,,2020-03-01,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QII87824,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7b,USA,Homo sapiens,,2020-03-01,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
QII87825,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF8 protein,USA,Homo sapiens,,2020-03-01,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87826,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,nucleocapsid phosphoprotein,USA,Homo sapiens,,2020-03-01,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87827,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF10 protein,USA,Homo sapiens,,2020-03-01,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87804,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1ab polyprotein,USA,Homo sapiens,,2020-02-29,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87805,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1a polyprotein,USA,Homo sapiens,,2020-02-29,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87806,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,surface glycoprotein,USA,Homo sapiens,,2020-02-29,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87807,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF3a protein,USA,Homo sapiens,,2020-02-29,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QII87808,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,envelope protein,USA,Homo sapiens,,2020-02-29,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87809,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,membrane glycoprotein,USA,Homo sapiens,,2020-02-29,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87810,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF6 protein,USA,Homo sapiens,,2020-02-29,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QII87811,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7a protein,USA,Homo sapiens,,2020-02-29,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QII87812,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7b,USA,Homo sapiens,,2020-02-29,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
QII87813,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF8 protein,USA,Homo sapiens,,2020-02-29,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87814,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,nucleocapsid phosphoprotein,USA,Homo sapiens,,2020-02-29,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87815,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF10 protein,USA,Homo sapiens,,2020-02-29,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87840,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,surface glycoprotein,USA,Homo sapiens,,2020-03-01,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87841,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF3a protein,USA,Homo sapiens,,2020-03-01,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QII87842,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,envelope protein,USA,Homo sapiens,,2020-03-01,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87843,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,membrane glycoprotein,USA,Homo sapiens,,2020-03-01,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87844,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF6 protein,USA,Homo sapiens,,2020-03-01,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QII87845,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7a protein,USA,Homo sapiens,,2020-03-01,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QII87846,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7b,USA,Homo sapiens,,2020-03-01,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
QII87847,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF8 protein,USA,Homo sapiens,,2020-03-01,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87848,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,nucleocapsid phosphoprotein,USA,Homo sapiens,,2020-03-01,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87849,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF10 protein,USA,Homo sapiens,,2020-03-01,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87850,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,6991,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1ab polyprotein,USA,Homo sapiens,,2020-03-01,,"orf1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87851,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4300,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1a polyprotein,USA,Homo sapiens,,2020-03-01,,"orf1a polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87777,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,,,,"Karbalaie Niya,M.H., Laali,A., Tabibzadeh,A., Safarnezhad Tameshkel,F., Zamani,F., Sohrabi,M.R., Ranjbar,M., Savaj,S., Rezaie,N., Ajdarkosh,H., Keyvani,H., Khoonsari,M., Ameli,M., Nikkhah,M., Ghanbari,B., Faraji,A., Jamshidi Makiani,M., Roham,M.",,ORF1ab polyprotein,Iran,Homo sapiens,oronasopharynx,2020-02-29,,"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87778,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,,,,"Karbalaie Niya,M.H., Laali,A., Tabibzadeh,A., Safarnezhad Tameshkel,F., Zamani,F., Sohrabi,M.R., Ranjbar,M., Savaj,S., Rezaie,N., Ajdarkosh,H., Keyvani,H., Khoonsari,M., Ameli,M., Nikkhah,M., Ghanbari,B., Faraji,A., Jamshidi Makiani,M., Roham,M.",,ORF1ab polyprotein,Iran,Homo sapiens,oronasopharynx,2020-02-29,,"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87779,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,28,,,,"Hamedi Asl,D., Soleimani,M., Mirzapour,M., Shabadori,A., Kamali,M.",,ORF1ab polyprotein,Iran,Homo sapiens,,2020-02-29,,"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87775,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,133,,,,"Kumar,P., Dhar,M., Vashistha,H., Singh,P., Sharma,U., Singh,S., Saini,N., Lall,H., Bala,M., Singh,S.K., Rakshit,P.",,nucleocapsid protein,India,Homo sapiens,,2020-02-29,,"nucleocapsid protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87776,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,88,,,,"Kumar,P., Dhar,M., Vashistha,H., Singh,P., Sharma,U., Singh,S., Saini,N., Lall,H., Bala,M., Singh,S.K., Rakshit,P.",,nucleocapsid protein,India,Homo sapiens,,2020-02-29,,"nucleocapsid protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87792,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1ab polyprotein,USA,Homo sapiens,,2020-02-28,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87793,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1a polyprotein,USA,Homo sapiens,,2020-02-28,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87794,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,surface glycoprotein,USA,Homo sapiens,,2020-02-28,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87795,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF3a protein,USA,Homo sapiens,,2020-02-28,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QII87796,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,envelope protein,USA,Homo sapiens,,2020-02-28,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87797,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,membrane glycoprotein,USA,Homo sapiens,,2020-02-28,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87798,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF6 protein,USA,Homo sapiens,,2020-02-28,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QII87799,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7a protein,USA,Homo sapiens,,2020-02-28,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QII87800,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF7b,USA,Homo sapiens,,2020-02-28,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
QII87801,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF8 protein,USA,Homo sapiens,,2020-02-28,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87802,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,nucleocapsid phosphoprotein,USA,Homo sapiens,,2020-02-28,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87803,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF10 protein,USA,Homo sapiens,,2020-02-28,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87830,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,surface glycoprotein,USA,Homo sapiens,,2020-03-01,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87832,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,envelope protein,USA,Homo sapiens,,2020-03-01,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87834,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF6 protein,USA,Homo sapiens,,2020-03-01,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QII87837,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF8 protein,USA,Homo sapiens,,2020-03-01,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87839,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,ORF10 protein,USA,Homo sapiens,,2020-03-01,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87828,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,orf1ab polyprotein,USA,Homo sapiens,,2020-03-01,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
